source;target
mir-335-5p;mir-760/mir-335-5p
mir-34b-5p;mir-660-5p/mir-34b-5p
mir-362-3p;mir-485-3p/mir-362-3p
mir-362-3p;mir-329-3p/mir-362-3p
mir-582-3p;mir-940/mir-582-3p
mir-106a-5p;mir-500a-5p/mir-106a-5p
mir-106a-5p;mir-502-3p/mir-106a-5p
mir-20a-5p;mir-130a-3p/mir-20a-5p
mir-20a-5p;mir-501-3p/mir-20a-5p
mir-106a-5p;mir-501-3p/mir-106a-5p
mir-95-3p;mir-500a-5p/mir-95-3p
mir-95-3p;mir-206/mir-95-3p
mir-7-5p;mir-20a-5p/mir-7-5p
mir-7-5p;mir-17-5p/mir-7-5p
mir-34a-3p;mir-3065-5p/mir-34a-3p
mir-1-3p;mir-410-3p/mir-1-3p
mir-329-3p;mir-1-3p/mir-329-3p
mir-708-5p;mir-452-5p/mir-708-5p
mir-497-5p;mir-195-5p/mir-497-5p
mir-19b-1-5p;mir-20a-5p/mir-19b-1-5p
mir-17-5p;mir-20a-5p/mir-17-5p
mir-339-5p;mir-769-3p/mir-339-5p
mir-411-5p;mir-1-3p/mir-411-5p
mir-3130-5p;mir-29b-1-5p/mir-3130-5p
mir-1226-3p;mir-152-3p/mir-1226-3p
mir-1-3p;mir-206/mir-1-3p
mir-34b-3p;mir-676-3p/mir-34b-3p
mir-29a-3p;mir-29a-5p/mir-29a-3p
mir-3187-3p;mir-335-3p/mir-3187-3p
mir-382-5p;mir-410-3p/mir-382-5p
mir-219a-1-3p;mir-421/mir-219a-1-3p
mir-424-5p;mir-654-3p/mir-424-5p
mir-96-5p;mir-378a-5p/mir-96-5p
mir-424-5p;mir-17-5p/mir-424-5p
mir-877-3p;mir-20b-5p/mir-877-3p
mir-877-3p;mir-363-3p/mir-877-3p
mir-491-3p;mir-17-5p/mir-491-3p
mir-381-3p;mir-494-3p/mir-381-3p
mir-708-5p;mir-17-5p/mir-708-5p
mir-30c-2-3p;mir-149-3p/mir-30c-2-3p
mir-18a-3p;mir-1226-3p/mir-18a-3p
let-7b-5p;mir-195-5p/let-7b-5p
mir-326;mir-106a-5p/mir-326
mir-1276;mir-149-5p/mir-1276
mir-378a-3p;mir-1276/mir-378a-3p
mir-98-5p;let-7b-5p/mir-98-5p
let-7d-5p;mir-98-5p/let-7d-5p
mir-188-3p;mir-1224-5p/mir-188-3p
mir-1224-5p;mir-141-3p/mir-1224-5p
mir-188-3p;mir-149-3p/mir-188-3p
mir-188-3p;mir-424-5p/mir-188-3p
