info,is_mrna_tf,name,selected,shared.name,updown,significance
mrna,false,ZYG11A,false,ZYG11A,down,
mrna,false,SFT2D2,false,SFT2D2,up,
mrna,false,REEP3,false,REEP3,down,
mrna,false,SPTY2D1,false,SPTY2D1,down,
mrna,false,MSI2,false,MSI2,up,
mrna,true,ZNF561,false,ZNF561,up,
mrna,false,FAM126A,false,FAM126A,down,
mrna,false,QSER1,false,QSER1,up,
mrna,true,ASH1L,false,ASH1L,up,
mrna,false,BPNT2,false,BPNT2,down,
mrna,false,ADAM22,false,ADAM22,up,
mrna,false,PDCD4,false,PDCD4,up,
mrna,false,CBX5,false,CBX5,up,
mrna,false,SYNM,false,SYNM,up,
mrna,false,TRIM2,false,TRIM2,down,
mrna,false,CAND2,false,CAND2,down,
mrna,false,SMG1,false,SMG1,down,
mrna,false,SEMA3A,false,SEMA3A,up,
mrna,false,ATP9A,false,ATP9A,up,
mrna,false,ZC3H11A,false,ZC3H11A,up,
mrna,false,SLC4A7,false,SLC4A7,up,
mrna,false,ARHGAP29,false,ARHGAP29,down,
mrna,false,NRP1,false,NRP1,up,
mrna,false,H4C8,false,H4C8,up,
mrna,true,MAFK,false,MAFK,up,
mrna,false,VLDLR,false,VLDLR,up,
mrna,false,UQCRB,false,UQCRB,down,
mrna,false,TPD52,false,TPD52,up,
mrna,false,TLN1,false,TLN1,up,
mrna,false,TGFBR3,false,TGFBR3,down,
mrna,false,SPTBN1,false,SPTBN1,down,
mrna,false,REV3L,false,REV3L,down,
mrna,false,PSAP,false,PSAP,down,
mrna,false,NPTX1,false,NPTX1,up,
mrna,false,NOTCH2,false,NOTCH2,up,
mrna,true,MYB,false,MYB,up,
mrna,false,IGF1R,false,IGF1R,up,
mrna,false,IDS,false,IDS,up,
mrna,true,HOXB3,false,HOXB3,up,
mrna,false,FUCA1,false,FUCA1,down,
mrna,true,E2F3,false,E2F3,up,
mrna,false,SLC31A1,false,SLC31A1,down,
mrna,false,COL5A1,false,COL5A1,up,
mirna,,mir-3130-5p,false,mir-3130-5p,down,0.682026389147025
mirna,,mir-155-5p,false,mir-155-5p,up,0.39315082294049
mirna,,mir-215-5p,false,mir-215-5p,down,0.768495116684465
mirna,,mir-582-3p,false,mir-582-3p,down,0.223889083658049
mirna,,mir-543,false,mir-543,up,0.138705142996499
mirna,,mir-429,false,mir-429,up,0.00733555780841485
mirna,,mir-23b-5p,false,mir-23b-5p,up,0.930458723675629
