"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11"
9497,"SLC4A7","hsa-mir-548j-5p","hsa-mir-196a-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.0771155731727196,-0.877754002589558,0.0164293854966801,1.33664549308257,0.74959974688327,0.0446144477219231,"hsa-mir-196a-5p","hsa-mir-548j-5p",9497,15.7062902234901,16.9037604863004,"16.0521039188729","""""","""""","""""","""""","""""",""""""
9877,"ZC3H11A","hsa-mir-139-5p","hsa-mir-221-5p",0.006,FALSE,NA,NA,NA,"tarbase","tarbase",0.00185470694674311,-0.606128351485674,0.0974981285092568,1.0569878721258,0.857319560184376,0.0223687512800433,"hsa-mir-221-5p","hsa-mir-139-5p",9877,18.5449742671133,19.1321601094982,"19.7995670022509","19.3934679364148","19.4345735116861","""""","""""","""""",""""""
10079,"ATP9A","hsa-mir-511-5p","hsa-mir-629-3p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.00314296879067613,-0.84208314425706,0.32988758925381,0.354910105792312,0.610990364073093,0.0647958025719772,"hsa-mir-629-3p","hsa-mir-511-5p",10079,19.4459409626249,18.607310129497,"18.556802432961","""""","""""","""""","""""","""""",""""""
10079,"ATP9A","hsa-mir-625-5p","hsa-mir-616-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.276382726619067,0.492106798224773,0.0210757409140762,-0.925617326823995,0.610990364073093,0.0647958025719772,"hsa-mir-616-3p","hsa-mir-625-5p",10079,19.4459409626249,19.2722109704341,"18.2171077500904","18.43423731471","""""","""""","""""","""""",""""""
10371,"SEMA3A","hsa-mir-30a-5p","hsa-mir-30d-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.385485626323246,0.11972575200118,0.371593227717104,0.128771328552901,0.29977994518749,0.166076262869639,"hsa-mir-30d-5p","hsa-mir-30a-5p",10371,15.6561211985692,17.4181476395516,"14.9121102798256","13.9249889984307","13.2309153047154","15.3881168562463","""""","""""",""""""
23049,"SMG1","hsa-mir-1307-3p","hsa-mir-1266-5p",0.0085,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.74859330442225,0.0544392375919352,0.00388453015993992,1.17721917616046,0.934741428350593,-0.0107755284860502,"hsa-mir-1266-5p","hsa-mir-1307-3p",23049,16.8389820879914,16.9481267802089,"16.5730309155825","""""","""""","""""","""""","""""",""""""
23049,"SMG1","hsa-mir-676-3p","hsa-mir-577",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.664641987885898,-0.18608087185371,0.0152632232532775,1.53806981212826,0.934741428350593,-0.0107755284860502,"hsa-mir-577","hsa-mir-676-3p",23049,17.023730910917,17.1251301397213,"16.9363891013219","17.1502418465054","""""","""""","""""","""""",""""""
23066,"CAND2","hsa-mir-148a-3p","hsa-mir-3065-3p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.102174704612462,-0.21723235571998,0.0398653167009213,-0.467829271979431,0.180031499469472,-0.190581649557453,"hsa-mir-3065-3p","hsa-mir-148a-3p",23066,11.9171178275137,12.5738384776999,"14.7743731135456","12.8997740484477","15.5616399488343","13.5006704978418","""""","""""",""""""
23321,"TRIM2","hsa-mir-3117-3p","hsa-mir-192-5p",0.0055,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.191055935041212,0.952038665785133,0.157967403548531,-0.19618679903471,0.568902544456508,-0.0749893299788366,"hsa-mir-192-5p","hsa-mir-3117-3p",23321,16.0569212436611,17.2218545910302,"15.4679461789061","""""","""""","""""","""""","""""",""""""
23336,"SYNM","hsa-mir-192-5p","hsa-mir-23b-5p",0.007,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.157967403548531,-0.19618679903471,0.930458723675629,0.0440610126301718,0.782438481152953,0.0374729456503833,"hsa-mir-23b-5p","hsa-mir-192-5p",23336,16.2553555232678,16.4278217414171,"16.7383540361341","16.3358788436072","16.9921730598136","""""","""""","""""",""""""
