"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46"
596,"BCL2","hsa-mir-30b-5p","hsa-mir-494-3p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10022131'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10193519'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10452254'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10564391'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10607921'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10612539'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10652634'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10767713'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10785598'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10797335'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11041112'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11052631'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11150376'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11151060'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11355956'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11687726'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11724359'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11802199'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11848471'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11865380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11920608'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12149448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12244568'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12269390'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12270138'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12423325'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12670866'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14663636'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15314290'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15955446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15955446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16401477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16407826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16773715'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16799636'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17182178'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17273826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17278191'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17332927'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17373735'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17426704'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18807035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18852136'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18949393'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18949393'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19027288'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19124064'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20409521'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20716165'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21128871'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21455217'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22050790'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22570942'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22990545'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23364257'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23867993'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24293274'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24384683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24451945'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24743574'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24895601'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24957706'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25192188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25208882'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25209181'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25282590'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25323586'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25385144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25548100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25738398'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25840688'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25977444'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26078354'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26482433'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26697569'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27046651'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27220399'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27244080'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27461218'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27537525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27663504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27845068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28032859'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28100091'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28106544'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28468511'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28499854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28714374'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28782841'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28785155'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28803443'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28928161'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28950657'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29065135'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29190919'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29288563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29372687'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29394130'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416778'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29636622'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29656061'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29669301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29844818'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29958837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417787'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30420612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30443961'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30515612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30535479'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30557404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30588113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30677442'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30681073'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30713822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30806395'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31011292'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31043791'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31117840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31141929'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31243264'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31296963'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31497237'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8063611'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8625322'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8690754'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9054611'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9164212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9221853'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9815900'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9823803'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9849490'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9881495'>PubMedLink</a>","mirtarbase","mirtarbase",0.00353318768551151,-0.171560487060928,"hsa-mir-494-3p","hsa-mir-30b-5p",596,12.57913321,16.13906698,"15.15975378","15.8610102","16.48801684","12.6218378","15.84062987","14.46832785","16.40264117","13.25528884","14.57980179","14.15888594","15.58097385","15.28729255","15.41467823","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
677,"ZFP36L1","hsa-mir-30b-5p","hsa-mir-548f-3p",0.0065,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.793155662468451,0.0136977586836966,"hsa-mir-548f-3p","hsa-mir-30b-5p",677,21.23424467,19.84148765,"20.54866586","21.55018349","19.98979719","21.08287016","19.4395237","19.47811166","20.91927638","20.51862795","19.79933735","20.57500502","21.0960574","21.26522567","20.91346239","19.79810903","20.026946","20.17920941","20.26673253","20.90832022","20.65261403","20.55070904","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2045,"EPHA7","hsa-mir-33a-5p","hsa-mir-455-3p",0.001,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31209892'>PubMedLink</a>",NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/16007213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16007213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31505877'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31505877'>PubMedLink</a>","tarbase","mirtarbase",5.81126590573618e-14,-0.477202870674325,"hsa-mir-455-3p","hsa-mir-33a-5p",2045,13.60201547,12.28818903,"11.67456366","12.31849527","14.67795552","12.80895214","10.64856075","12.42500794","10.96807345","12.41090305","10.02718632","12.0367896","11.31075988","11.10202139","12.18211996","18.87146373","12.85296332","10.35504512","10.94456149","16.40944473","12.36882627","12.64403174","10.76821715","13.5709409","14.32160405","15.5754488","15.6482283","14.39857062","10.3796278","14.89059356","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2113,"ETS1","hsa-mir-1228-3p","hsa-mir-424-5p",0.0025,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11353051'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15252143'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16103071'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19499154'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21343932'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22735571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23173124'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26296467'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26461477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31322251'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31570702'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7753825'>PubMedLink</a>","mirtarbase","tarbase",0.237531110473946,-0.0650906473092392,"hsa-mir-424-5p","hsa-mir-1228-3p",2113,17.66185149,16.80380508,"18.5368394","18.32160084","18.95375944","17.88564775","17.98215812","17.91193945","17.78591787","17.79988802","17.64791969","17.42154246","18.32775983","18.4062648","17.90387693","18.44348232","18.5604302","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2200,"FBN1","hsa-mir-136-5p","hsa-mir-424-5p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23963856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25802477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28901407'>PubMedLink</a>","tarbase","tarbase",0.678384227889494,-0.023589929814589,"hsa-mir-424-5p","hsa-mir-136-5p",2200,18.19238082,18.48990544,"16.90173905","18.7864957","19.02065513","17.01070744","17.42364055","14.60817376","14.70585043","17.63711195","14.28238389","15.4242137","18.05015632","17.85167626","18.18436203","16.89164459","19.61149306","17.94692229","19.24905507","19.00562063","16.40704468","15.93940922","17.40362986","16.61970167","18.38991299","17.66937373","18.62517037","18.33539282","18.10033567","15.02958038","14.72922048","17.75495202","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2200,"FBN1","hsa-mir-224-5p","hsa-mir-196b-5p",0.0095,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28591704'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/23963856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25802477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28901407'>PubMedLink</a>","tarbase","tarbase",0.678384227889494,-0.023589929814589,"hsa-mir-196b-5p","hsa-mir-224-5p",2200,16.63625305,18.48990544,"19.02065513","17.12982756","17.03241781","17.30431667","17.01070744","20.26944092","19.93831876","18.05015632","17.61383563","17.85167626","16.91976534","15.60887802","19.61149306","19.24905507","19.00562063","17.1792066","17.52465769","18.56443953","19.92234131","20.02771221","19.14716564","18.62517037","18.33539282","15.02958038","17.75495202","17.00339448","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2200,"FBN1","hsa-mir-224-5p","hsa-mir-424-5p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23963856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25802477'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28901407'>PubMedLink</a>","tarbase","tarbase",0.678384227889494,-0.023589929814589,"hsa-mir-424-5p","hsa-mir-224-5p",2200,18.48990544,17.15725973,"18.7864957","19.02065513","15.23389853","17.30431667","17.01070744","18.05015632","17.85167626","19.61149306","19.24905507","19.00562063","16.40704468","15.93940922","18.50718602","17.52465769","17.66937373","18.62517037","18.33539282","18.10033567","15.02958038","17.75495202","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3312,"HSPA8","hsa-mir-32-3p","hsa-mir-20b-5p",0.0095,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10891381'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12966429'>PubMedLink</a>","mirtarbase","mirtarbase",0.429357437065956,0.038932443871701,"hsa-mir-20b-5p","hsa-mir-32-3p",3312,22.80524661,21.4608225,"22.91728389","22.95208278","23.00327026","22.73471974","23.32245415","23.25860846","22.01406996","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3371,"TNC","hsa-mir-877-5p","hsa-mir-136-5p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16211285'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23645740'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25666906'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27191989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27191989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28106752'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29065427'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29196164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30170017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31036754'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31195598'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31632476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7543628'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7690353'>PubMedLink</a>","tarbase","tarbase",0.928497862619518,0.00500318984426843,"hsa-mir-136-5p","hsa-mir-877-5p",3371,20.26627902,17.91217128,"20.21971723","20.48728215","18.54570655","19.22887309","16.02577732","19.53371988","18.02321963","18.90191208","19.43598323","19.29758442","19.86491807","17.83597231","19.14281226","20.48057604","18.47524945","21.92444751","19.91054822","19.19529828","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3572,"IL6ST","hsa-mir-181d-5p","hsa-mir-215-5p",0.0075,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29199273'>PubMedLink</a>","NA
<a href='https://pubmed.ncbi.nlm.nih.gov/19223499'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28130546'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28783170'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29777330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30736824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31443669'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.0845352248558087,-0.0949679266661034,"hsa-mir-215-5p","hsa-mir-181d-5p",3572,18.56705782,17.68864691,"19.30105235","16.70777762","18.25076282","18.52558166","18.99359968","18.21529581","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3783,"KCNN4","hsa-mir-424-5p","hsa-mir-1-3p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23572150'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24885636'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29161243'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.0559186461056961,0.104257709563498,"hsa-mir-1-3p","hsa-mir-424-5p",3783,19.15417372,20.14664143,"20.55255883","20.09542995","18.13599634","20.23718963","19.00343751","20.42296462","20.74162393","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4015,"LOX","hsa-mir-767-5p","hsa-mir-135b-3p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11807790'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19724858'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21282564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22641216'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24008360'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25112403'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367711'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367711'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27742687'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28947950'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29209148'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29766649'>PubMedLink</a>","mirtarbase","tarbase",0.243361591447093,0.0687703971967559,"hsa-mir-135b-3p","hsa-mir-767-5p",4015,17.38551431,16.07846209,"16.06458299","15.8543043","19.428547","17.51950936","19.30661004","16.8557583","17.19667292","16.24120646","16.89993471","17.29901606","16.53300417","16.79158512","15.80958767","18.8583342","16.68342455","15.54035598","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4121,"MAN1A1","hsa-mir-1270","hsa-mir-877-5p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase",0.0340077416588955,-0.11376638705196,"hsa-mir-877-5p","hsa-mir-1270",4121,18.43969692,18.6320646,"18.61242288","18.1764053","17.88018475","19.27335938","18.23305358","18.4638761","19.34667898","17.67988539","17.99891943","18.89057631","17.75741606","18.54037477","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4355,"MPP2","hsa-mir-455-3p","hsa-mir-424-5p",0.006,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.00080541659757994,-0.21294365238666,"hsa-mir-424-5p","hsa-mir-455-3p",4355,13.28600807,13.67264165,"15.21717283","13.52331147","12.08356784","12.94494575","12.58488271","11.01645425","9.728588626","14.1149012","12.15768278","14.63998604","12.88791413","12.98170319","13.0957754","14.8646149","13.10880218","13.53076416","11.72073473","11.34081254","12.73623403","13.46704106","15.4548119","13.41454536","11.42476545","10.59471674","13.43553549","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4782,"NFIC","hsa-mir-23b-5p","hsa-mir-485-5p",0.0025,TRUE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29680296'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/30087700'>PubMedLink</a>",NA,"tarbase","mirtarbase tarbase",0.451544168438058,-0.0418173216114887,"hsa-mir-485-5p","hsa-mir-23b-5p",4782,16.11275716,17.83917439,"18.569516","18.447746","18.01348341","16.59159161","17.8181393","17.39396303","17.62308732","17.6888616","18.01824112","16.60819525","18.02611321","18.1001921","19.36785072","17.56457673","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4833,"NME4","hsa-let-7c-5p","hsa-mir-196a-5p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11724361'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23553997'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.412763233339731,0.0445678094685087,"hsa-mir-196a-5p","hsa-let-7c-5p",4833,20.85228848,19.54190658,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5028,"P2RY1","hsa-mir-153-3p","hsa-mir-196a-5p",0.0085,FALSE,NA,NA,NA,"mirtarbase","tarbase",1.06350179419534e-05,-0.255310060652846,"hsa-mir-196a-5p","hsa-mir-153-3p",5028,15.59307044,15.69772844,"14.75319332","12.86317133","15.07619095","16.10487935","16.29902794","15.80313931","14.31935905","15.2781377","15.34651948","14.39062838","15.23040242","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5352,"PLOD2","hsa-mir-942-5p","hsa-mir-129-5p",0.005,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29226325'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31742425'>PubMedLink</a>","tarbase","tarbase",0.136082382524353,-0.0815006541380025,"hsa-mir-129-5p","hsa-mir-942-5p",5352,17.64414614,17.37896839,"18.00152612","17.48434685","18.7144378","18.51346248","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
